id;the_geom;id;sub_area;type;types;flats;height;levels
buildings_lambert93.11;MULTIPOLYGON (((911033.284286608 6234888.896865586, 911052.0246703619 6234883.394911113, 911051.2955384267 6234880.812536328, 911047.843839289 6234881.811430179, 911047.2590713612 6234879.789976736, 911041.7453118358 6234881.61097596, 911040.0577060978 6234875.993750377, 911034.5475977228 6234877.703640752, 911034.9916550004 6234879.053057353, 911030.8008302101 6234880.250137194, 911033.284286608 6234888.896865586)));617;Boundary6;yes;yes;1;0.0;0
buildings_lambert93.12;MULTIPOLYGON (((911623.9841545455 6233778.293438764, 911628.2461493504 6233777.432762091, 911627.576449892 6233775.519674616, 911630.7071825962 6233774.399246841, 911628.0613393177 6233765.746854825, 911624.7789324501 6233766.528576766, 911624.4162335808 6233765.181788187, 911620.1395849085 6233766.486930255, 911623.9841545455 6233778.293438764)));618;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.13;MULTIPOLYGON (((912013.0845801265 6235072.344513294, 912013.3768031716 6235073.355282785, 912021.5849847477 6235071.290384684, 912018.9696609927 6235061.748998361, 912012.1511002613 6235063.6373155685, 912010.1128698089 6235056.339700323, 912005.1864838472 6235057.623092646, 912007.1324009281 6235065.251364543, 912010.9130839559 6235064.1526130885, 912013.0845801265 6235072.344513294)));619;Boundary0;yes;yes;1;0.0;0
buildings_lambert93.14;MULTIPOLYGON (((911845.9323000836 6233711.41657294, 911853.2225418653 6233712.54696016, 911854.0864609503 6233708.570944932, 911858.0788915589 6233708.480180577, 911859.131131239 6233703.731722666, 911848.1327527573 6233701.477873794, 911845.9323000836 6233711.41657294)));621;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.15;MULTIPOLYGON (((910848.5223119145 6235121.314511176, 910853.0793581889 6235121.352931092, 910852.8479607613 6235116.006060331, 910855.3758916932 6235115.86660991, 910855.3217137681 6235110.080619527, 910848.0996477708 6235109.398504845, 910848.5223119145 6235121.314511176)));622;Boundary3;yes;yes;1;0.0;0
buildings_lambert93.16;MULTIPOLYGON (((911970.1942295483 6235451.798302965, 911976.4498717494 6235462.01601481, 911986.6670157812 6235455.790487514, 911983.5835239324 6235450.571853909, 911982.2569384797 6235451.306698935, 911979.1661032737 6235446.31029549, 911974.7651396568 6235448.945868087, 911975.6931250638 6235450.422565495, 911973.6164389444 6235451.688822245, 911972.7697597715 6235450.214809627, 911970.1942295483 6235451.798302965)));623;Boundary1;yes;yes;1;0.0;0
buildings_lambert93.17;MULTIPOLYGON (((911920.4426289565 6234053.92474492, 911926.4196318983 6234052.8983978275, 911925.6240760391 6234049.868762368, 911920.3899893276 6234050.585918619, 911920.4426289565 6234053.92474492)));624;Boundary5;yes;yes;1;0.0;0
buildings_lambert93.18;MULTIPOLYGON (((911763.7398180692 6234789.0302930605, 911762.7326435295 6234782.545409261, 911758.8038736987 6234783.194486729, 911759.6294052924 6234787.782373518, 911752.2597628105 6234789.096624663, 911752.3674257188 6234790.768709568, 911763.7398180692 6234789.0302930605)));625;Boundary2;yes;yes;1;0.0;0
buildings_lambert93.19;MULTIPOLYGON (((912248.9399603617 6235802.388512353, 912248.6441408884 6235801.488851166, 912240.3407974655 6235803.995213249, 912241.5057115294 6235808.14942475, 912239.4511217659 6235808.748910087, 912240.4125375582 6235811.6728074355, 912242.6334038517 6235810.967584541, 912242.9108561724 6235812.422813673, 912251.2954919854 6235809.919143089, 912248.9399603617 6235802.388512353)));628;Boundary1;yes;yes;1;0.0;0
buildings_lambert93.20;MULTIPOLYGON (((911101.0363706425 6234298.795640415, 911115.9602148959 6234302.9570556795, 911116.8884263956 6234294.533665112, 911114.1490798399 6234293.664953401, 911114.4478406411 6234292.006241305, 911102.02666278 6234288.4832833335, 911100.4250271581 6234295.104767003, 911101.7965275124 6234295.483562015, 911101.0363706425 6234298.795640415)));631;Boundary6;yes;yes;1;0.0;0
buildings_lambert93.21;MULTIPOLYGON (((911062.2256132711 6234394.739730623, 911063.8264442249 6234395.570997991, 911062.5637874006 6234399.311502523, 911064.8964953197 6234400.166826703, 911063.8220444948 6234403.134868586, 911071.1417881796 6234405.822652639, 911073.8589709245 6234397.458069914, 911067.907046617 6234395.260185603, 911072.6845170509 6234381.1790766185, 911067.5348204412 6234379.341269657, 911062.2256132711 6234394.739730623)));632;Boundary6;yes;yes;1;0.0;0
buildings_lambert93.22;MULTIPOLYGON (((912024.558755639 6234456.143360425, 912018.2782373835 6234454.044970011, 912015.6118014263 6234463.300755595, 912012.5473608933 6234462.420921379, 912011.029193944 6234466.486528121, 912016.2672311839 6234468.105546275, 912017.1134402639 6234467.132362552, 912021.8042567235 6234468.065900634, 912024.558755639 6234456.143360425)));633;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.23;MULTIPOLYGON (((910463.8978337434 6236087.66731525, 910463.8360823479 6236082.1035992345, 910462.2064695451 6236082.161406534, 910461.1449637726 6236072.338028069, 910446.8812787855 6236072.982755011, 910447.4440873767 6236083.123483296, 910449.1549981661 6236083.068337434, 910449.3964116151 6236085.634629513, 910456.5688890824 6236085.313597564, 910457.1209220776 6236088.335008596, 910463.8978337434 6236087.66731525)));634;Boundary3;yes;yes;1;0.0;0
buildings_lambert93.24;MULTIPOLYGON (((911922.3625155956 6234494.038232123, 911930.3024001429 6234495.190172395, 911931.2286388304 6234489.325237182, 911927.1070578694 6234488.410552665, 911926.9114147255 6234489.405219184, 911928.6894233846 6234489.797609875, 911928.2944693774 6234491.8980577225, 911924.5684811615 6234491.330139177, 911924.878448024 6234489.338122149, 911922.8528157789 6234489.048795906, 911922.3625155956 6234494.038232123)));635;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.25;MULTIPOLYGON (((911643.8178298522 6233463.035459351, 911638.6842928231 6233455.747141384, 911632.0906477253 6233460.646738513, 911639.6465991393 6233471.018268415, 911646.3142479475 6233466.343591616, 911643.8178298522 6233463.035459351)));636;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.26;MULTIPOLYGON (((911977.2537315434 6234022.31770185, 911971.8392593918 6234026.032244416, 911989.5014390242 6234040.964774745, 911997.8129975493 6234033.3413803615, 911988.0075428607 6234024.563713384, 911985.1367611743 6234030.141998906, 911977.2537315434 6234022.31770185)));637;Boundary5;yes;yes;1;0.0;0
buildings_lambert93.27;MULTIPOLYGON (((912592.8951475866 6235382.175752446, 912598.6194170283 6235378.916997133, 912594.0132426213 6235370.533031687, 912584.7265223722 6235375.6760736415, 912585.599194626 6235378.819567654, 912586.1867424065 6235378.282844188, 912589.6542546407 6235384.181915056, 912592.8951475866 6235382.175752446)));638;Boundary1;yes;yes;1;0.0;0
buildings_lambert93.28;MULTIPOLYGON (((911573.7532077321 6233605.223066673, 911570.4898262288 6233607.896466236, 911575.1089093476 6233613.499227788, 911579.466185733 6233609.7495056, 911580.564533741 6233611.009292865, 911585.1621436145 6233607.378728839, 911582.1257320271 6233603.162940307, 911579.3686291673 6233605.296833377, 911577.020252709 6233602.438552858, 911573.7532077321 6233605.223066673)));639;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.29;MULTIPOLYGON (((912055.887206938 6235040.72107449, 912060.0468332851 6235047.8663011445, 912062.785165323 6235046.288210041, 912062.0974001671 6235044.930666871, 912066.4210255664 6235042.1813456835, 912064.2617383092 6235038.550487018, 912062.5914645887 6235039.830147281, 912058.2655417912 6235032.790661836, 912053.0328055931 6235035.954905852, 912055.887206938 6235040.72107449)));640;Boundary0;yes;yes;1;0.0;0
buildings_lambert93.30;MULTIPOLYGON (((911217.2237904354 6234897.169843889, 911218.8299228577 6234902.784440474, 911221.5388534872 6234902.09490887, 911221.916177922 6234902.997203402, 911227.6921931584 6234900.6288094325, 911225.6676392604 6234892.886976022, 911219.5882957599 6234894.577982375, 911220.0176920181 6234896.371871547, 911217.2237904354 6234897.169843889)));642;Boundary6;yes;yes;1;0.0;0
buildings_lambert93.31;MULTIPOLYGON (((911363.7926172175 6233577.508131236, 911365.6046983771 6233579.347552788, 911366.8612226031 6233578.276544865, 911372.75983983 6233584.588686626, 911378.2958653783 6233579.654027917, 911372.3232327619 6233573.1169719985, 911373.250780917 6233572.1463737795, 911371.5977031153 6233570.423419676, 911363.7926172175 6233577.508131236)));643;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.32;MULTIPOLYGON (((911633.22110529 6233411.517404483, 911642.1075258418 6233408.695622119, 911637.7864894518 6233398.986873023, 911630.293694129 6233401.520875818, 911629.0802526537 6233398.811210012, 911624.4743729081 6233400.216748658, 911627.0830090025 6233407.533090673, 911631.2045515357 6233406.000357082, 911633.22110529 6233411.517404483)));644;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.33;MULTIPOLYGON (((911964.7112794251 6235442.829695411, 911974.9321094083 6235436.493034406, 911971.7672912286 6235431.271721258, 911970.4370347941 6235432.117682954, 911967.4311557283 6235427.012854797, 911963.0265160485 6235429.759549954, 911963.9545071453 6235431.236245869, 911961.8814859386 6235432.391392482, 911960.9498261499 6235431.025811003, 911958.4555983377 6235432.611993607, 911964.7112794251 6235442.829695411)));645;Boundary1;yes;yes;1;0.0;0
buildings_lambert93.34;MULTIPOLYGON (((911779.2488199797 6233602.875035665, 911773.284652041 6233598.562604217, 911774.393240012 6233597.041849195, 911769.3383499573 6233592.314459892, 911763.680389758 6233598.468372944, 911773.6721884676 6233609.031621453, 911779.2488199797 6233602.875035665)));646;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.35;MULTIPOLYGON (((912062.6631748956 6235141.168117699, 912083.1308134481 6235140.064410323, 912083.1601763593 6235139.175495918, 912086.8301573523 6235138.96301835, 912086.6511712037 6235132.060502056, 912083.5540303471 6235132.180666559, 912083.534553495 6235127.841836792, 912058.842396423 6235128.694777948, 912059.0324225393 6235135.263950645, 912062.2108715574 6235135.146459931, 912062.6631748956 6235141.168117699)));647;Boundary0;garages;garages;1;0.0;0
buildings_lambert93.36;MULTIPOLYGON (((911872.414046767 6234258.571816704, 911870.1133881802 6234239.474530764, 911865.7740020572 6234240.221245249, 911865.4407151388 6234237.9855263755, 911863.6369700774 6234238.370958742, 911863.6706328792 6234239.818138982, 911861.1833195144 6234241.182143794, 911862.7557755104 6234260.144163326, 911872.414046767 6234258.571816704)));648;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.37;MULTIPOLYGON (((912471.1459886578 6235231.536854324, 912480.3179992118 6235224.943778425, 912474.9429933119 6235217.646811349, 912461.2295181234 6235228.650272916, 912464.4087653541 6235233.427379591, 912469.8299188417 6235229.491058845, 912471.1459886578 6235231.536854324)));649;Boundary1;yes;yes;1;0.0;0
buildings_lambert93.38;MULTIPOLYGON (((912013.5705119588 6234133.0844187625, 912007.0420579424 6234145.883522138, 912011.1828088993 6234148.689902659, 912017.9815309987 6234137.568271435, 912013.5705119588 6234133.0844187625)));650;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.39;MULTIPOLYGON (((910985.0495775095 6233790.195766422, 910989.9793276399 6233786.353237758, 910994.4616650299 6233791.172417487, 911004.5280211043 6233792.059344014, 911004.7188782488 6233788.728536132, 910996.1867879191 6233788.225727174, 910990.8682578102 6233781.599297368, 910983.0153753851 6233787.681743288, 910985.0495775095 6233790.195766422)));651;Boundary6;yes;yes;1;0.0;0
buildings_lambert93.40;MULTIPOLYGON (((912249.5177730895 6235019.198978173, 912259.0601601477 6235016.177361607, 912257.9056016764 6235009.242576819, 912248.2226199388 6235011.592133449, 912249.5177730895 6235019.198978173)));652;Boundary0;yes;yes;1;0.0;0
buildings_lambert93.41;MULTIPOLYGON (((911567.8447735814 6233263.087156389, 911574.4466835954 6233260.412487964, 911567.1445396418 6233247.268473972, 911561.2079359506 6233249.520119643, 911562.3364431035 6233252.338212431, 911560.8468029115 6233253.067798645, 911564.4315916862 6233260.416274226, 911566.1688937937 6233259.583610712, 911567.8447735814 6233263.087156389)));653;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.42;MULTIPOLYGON (((911577.0525305963 6234844.277911824, 911570.365696817 6234842.166567885, 911569.9298351739 6234843.042089602, 911567.268434618 6234842.286981888, 911564.0709591408 6234852.860228724, 911570.7651061328 6234854.749336327, 911572.6704155381 6234848.805403561, 911575.5720936762 6234849.679666631, 911577.0525305963 6234844.277911824)));654;Boundary2;yes;yes;1;0.0;0
buildings_lambert93.43;MULTIPOLYGON (((912304.5230346232 6235873.970837765, 912295.7907432129 6235874.683177484, 912295.543628892 6235877.233412614, 912290.7542131239 6235876.85256205, 912290.3784985158 6235883.291772445, 912296.309798074 6235883.599149061, 912296.1880780776 6235884.8187097525, 912303.6677695456 6235885.0660626255, 912304.5230346232 6235873.970837765)));655;Boundary1;2;2;1;0.0;0
buildings_lambert93.44;MULTIPOLYGON (((911830.8269066938 6234840.520619414, 911826.9554813493 6234834.497408284, 911831.5377430411 6234831.311513681, 911825.7250954193 6234822.44336857, 911821.3977709421 6234825.303971097, 911819.0646416595 6234822.001168369, 911811.3301188903 6234826.974088989, 911817.050470351 6234836.172882331, 911819.637194454 6234834.255975902, 911825.827083467 6234844.026445268, 911830.8269066938 6234840.520619414)));656;Boundary2;yes;yes;1;0.0;0
buildings_lambert93.45;MULTIPOLYGON (((911317.6450198514 6235098.361519381, 911315.490707215 6235099.514201355, 911316.7888800338 6235102.115335291, 911313.1380593919 6235104.219879894, 911319.2288188576 6235114.542738038, 911324.1212409814 6235111.811652442, 911325.5930008317 6235114.084796251, 911330.747645228 6235110.806170851, 911324.6605571912 6235100.372186724, 911320.4295850762 6235102.791337595, 911317.6450198514 6235098.361519381)));658;Boundary6;yes;yes;1;0.0;0
buildings_lambert93.46;MULTIPOLYGON (((910849.3614964692 6234964.38965262, 910849.4256003485 6234967.395101182, 910859.2013593686 6234967.159962904, 910858.9548758517 6234952.357619494, 910848.2919514047 6234952.341155321, 910849.64088791 6234960.839309406, 910851.5147289129 6234960.789610342, 910851.5642360233 6234964.239519463, 910849.3614964692 6234964.38965262)));659;Boundary3;yes;yes;1;0.0;0
buildings_lambert93.47;MULTIPOLYGON (((912088.3154324199 6234578.940000778, 912080.6648212213 6234581.356967319, 912082.943439796 6234588.7738029985, 912087.0643621788 6234587.241376482, 912087.5748619251 6234589.038014027, 912094.4862695965 6234586.819111184, 912092.8661165377 6234581.648740359, 912089.5730446413 6234582.763563683, 912088.3154324199 6234578.940000778)));660;Boundary0;yes;yes;1;0.0;0
buildings_lambert93.48;MULTIPOLYGON (((911305.8348083047 6233933.447638743, 911301.1890648345 6233945.975678563, 911302.9599457763 6233946.590128717, 911302.24718574 6233948.457687906, 911311.0458523594 6233950.7494589, 911314.5100604906 6233941.964570899, 911311.3712693835 6233940.860160867, 911313.3213145926 6233936.029943912, 911305.8348083047 6233933.447638743)));661;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.49;MULTIPOLYGON (((912336.9550274003 6235417.532704703, 912334.8107289085 6235413.457309002, 912332.763355452 6235413.8345385725, 912332.3710590197 6235410.929441971, 912330.8188764786 6235411.10057849, 912330.5005363842 6235408.420398838, 912324.8572790949 6235409.234885432, 912325.1976696484 6235411.248381121, 912328.4609736076 6235411.022597649, 912329.4343686925 6235418.507566343, 912336.9550274003 6235417.532704703)));662;Boundary1;yes;yes;1;0.0;0
buildings_lambert93.50;MULTIPOLYGON (((911207.9248099909 6234897.7538310345, 911210.0306965441 6234905.498333357, 911216.2470671965 6234904.590472659, 911216.0360241727 6234903.582413287, 911218.8299228577 6234902.784440474, 911217.2237904354 6234897.169843889, 911214.4298895794 6234897.967817435, 911213.9228335989 6234896.060138822, 911207.9248099909 6234897.7538310345)));663;Boundary6;yes;yes;1;0.0;0
buildings_lambert93.51;MULTIPOLYGON (((910788.7891961153 6234406.78132192, 910790.2847072843 6234403.382119343, 910791.9741839567 6234403.993757115, 910793.2074996915 6234401.142124647, 910794.8193046271 6234401.639978029, 910797.1269484679 6234395.820259472, 910789.8993516191 6234392.802110398, 910787.3368113583 6234398.947170133, 910785.8949399274 6234398.232426272, 910783.2510856289 6234404.374817933, 910788.7891961153 6234406.78132192)));665;Boundary6;yes;yes;1;0.0;0
buildings_lambert93.52;MULTIPOLYGON (((910946.5361553387 6235118.527345372, 910950.8310192985 6235119.113394911, 910951.2647919985 6235113.34343294, 910958.3242248921 6235114.020320406, 910959.1161059232 6235107.261010824, 910956.0299447267 6235107.048374391, 910956.2436785009 6235105.498108435, 910952.1817859871 6235105.253414706, 910952.3845664748 6235104.036493435, 910948.2486635287 6235103.566900753, 910946.5361553387 6235118.527345372)));666;Boundary3;yes;yes;1;0.0;0
